date,description,amount,category
6/1/2026,AIRTEL POSTPAID,561.19,Bills
6/1/2026,BIGBASKET GROCERY,2199.56,Groceries
6/2/2026,BIGBASKET GROCERY,1191.81,Groceries
6/2/2026,BOOKMYSHOW TICKET,631.51,Entertainment
6/4/2026,METRO CARD RECHARGE,996.05,Transport
6/5/2026,AIRTEL POSTPAID,1274.31,Bills
6/5/2026,BOOKMYSHOW TICKET,467.16,Entertainment
6/6/2026,FLIPKART ORDER,939.76,Shopping
6/7/2026,OLA CABS,1302.96,Transport
6/7/2026,METRO CARD RECHARGE,2361.84,Transport
6/8/2026,ELECTRICITY BILL PAYMENT,1506.02,Bills
6/8/2026,UBER TRIP,1198.67,Transport
6/8/2026,STARBUCKS COFFEE,157.68,Food
6/9/2026,OLA CABS,620.17,Transport
6/9/2026,METRO CARD RECHARGE,1628.8,Transport
6/9/2026,UBER TRIP,676.84,Transport
6/9/2026,AIRTEL POSTPAID,1923.95,Bills
6/10/2026,ZOMATO ORDER,2149.87,Food
6/10/2026,MYNTRA FASHION,462.74,Shopping
6/11/2026,AMAZON PURCHASE,456.26,Shopping
6/11/2026,MYNTRA FASHION,727.93,Shopping
6/12/2026,NETFLIX SUBSCRIPTION,720.14,Entertainment
6/12/2026,DMART GROCERY,470.95,Groceries
6/13/2026,ZOMATO ORDER,948.73,Food
6/13/2026,FLIPKART ORDER,610.76,Shopping
6/13/2026,MYNTRA FASHION,1522.05,Shopping
6/14/2026,SWIGGY BANGALORE,152.11,Food
6/15/2026,BOOKMYSHOW TICKET,2098.55,Entertainment
6/15/2026,AIRTEL POSTPAID,688.42,Bills
6/17/2026,METRO CARD RECHARGE,337.51,Transport
6/17/2026,NETFLIX SUBSCRIPTION,561.36,Entertainment
6/18/2026,AMAZON PURCHASE,2087.16,Shopping
6/18/2026,OLA CABS,1736.77,Transport
6/18/2026,AIRTEL POSTPAID,715.83,Bills
6/18/2026,STARBUCKS COFFEE,2360.68,Food
6/19/2026,OLA CABS,1785.06,Transport
6/19/2026,MYNTRA FASHION,2252.73,Shopping
6/20/2026,METRO CARD RECHARGE,2165.33,Transport
6/21/2026,ZOMATO ORDER,140.53,Food
6/21/2026,BIGBASKET GROCERY,1398.76,Groceries
6/21/2026,UBER TRIP,1372.62,Transport
6/21/2026,ELECTRICITY BILL PAYMENT,1037.43,Bills
6/21/2026,AMAZON PURCHASE,2116.84,Shopping
6/22/2026,AMAZON PURCHASE,1778.41,Shopping
6/22/2026,BOOKMYSHOW TICKET,252.79,Entertainment
6/22/2026,MYNTRA FASHION,1523.31,Shopping
6/22/2026,BIGBASKET GROCERY,357.22,Groceries
6/24/2026,ZOMATO ORDER,1717.61,Food
6/25/2026,FLIPKART ORDER,327.35,Shopping
6/25/2026,SWIGGY BANGALORE,2163.87,Food
6/25/2026,BOOKMYSHOW TICKET,903.22,Entertainment
6/25/2026,METRO CARD RECHARGE,1363.46,Transport
6/26/2026,STARBUCKS COFFEE,95.73,Food
6/26/2026,UBER TRIP,1769.5,Transport
6/27/2026,DMART GROCERY,1957.92,Groceries
6/28/2026,ZOMATO ORDER,999.91,Food
6/29/2026,AIRTEL POSTPAID,290.39,Bills
6/29/2026,BIGBASKET GROCERY,841.52,Groceries
6/29/2026,AIRTEL POSTPAID,1897.12,Bills
6/30/2026,BOOKMYSHOW TICKET,1190.42,Entertainment
